pH,Temperatura (°C),Conductividad (μS/cm),Oxígeno Disuelto (mg/L),Turbidez (NTU),Clorofila (μg/L)
7.83,27.48,710.8,5.01,40,100.75
8.48,26.45,705.6,4.89,66,200.25
9.547,27.7,618,13.17,27,44.5
9.418,27.9,606,14.43,115,100.93
9.345,28.5,707,17.35,41,99.32
9.523,28.9,703,18.34,368,1195.0
9.498,29,704,18.95,254,312.92
9.284,27.4,627,7.17,19,30.62
8.769,27.7,633,7.06,115,74.05
9.371,28.7,721,18.35,55,182.98
9.015,28.4,730,11.19,64,98.26
9.059,27.9,731,11.88,33,71.91
9.271,25.4,602,8.82,25,38.8
8.163,25,629,1.14,41,73.34
8.107,25.2,668,2.85,16,29.19
8.555,25.6,669,8.24,29,63.01
8.58,25.1,670,8.01,30,68.71
9.429,25.8,585,11.9,20,34.53
8.901,26,616,9.17,33,59.33
8.692,25.8,624,8.14,21,76.89
9.274,26.4,613,8.9,37,102.73
9.541,27.7,608,17.97,40,109.88
9.688,27.1,572,15.02,30,41.47
9.063,28.5,614,15.26,27,40.58
9.301,29.3,617,16.1,42,118.88
9.346,27.7,618,13.5,294,455.08
9.336,27.7,622,13.89,95,136.76
9.4,25.4,566.8,8.19,11,37.02
8.64,26.57,607.7,11.73,44,108.23
9.301,29.3,617,16.1,14,40.46
7.73,24.49,606.4,0,8,35.36
7.99,25.44,603.8,3.65,9,14.0
8.61,26.14,604.2,5.24,32,40.11
8.72,28.16,612.8,18.89,26,85.78
8.49,26.53,588.9,10.58,14,59.93
8.38,26.03,586.8,8.44,16,78.55
8.4,26.64,587.8,12.52,17,85.56
7.88,23.31,611.8,1.66,11,18.39
8,22.92,626,3,11,12.0
7.37,21.44,415.9,0.17,9,20.17
7.71,23.25,603.7,2.27,9,33.7
7.7,23.27,606.2,2.07,8,34.53
8.19,22.6,610.6,6.95,8,32.04
8.34,22.95,620.3,7,16,31.57
7.62,22.36,632.7,1.59,8,17.45
7.78,22.59,627.6,3.29,11,29.19
7.77,22.56,628.6,2.67,10,28.95
8.32,22.3,608.6,7.27,11,14.71
8.47,22.91,622.3,6.87,23,41.88
7.87,22.54,647.9,4.06,16,45.21
8.15,22.56,642.6,6.56,13,44.5
8.37,23.24,642.6,9.39,15,49.36
9.21,23.78,603.6,11.84,24,18.39
8.73,25,621.3,8.64,31,26.1
9.13,24.38,672,12.19,21,48.53
9.37,24.84,669,16.32,122,118.66
9.05,24.61,657.2,13.41,34,40.23
9.69,25.62,603.1,13.53,32,15.55
8.68,27.5,647.9,5.17,75,105.02
9.3,26.37,682.7,16.23,34,61.23
8.71,25.6,691,14.85,621,281.59
9.13,26.42,682,16.34,65,112.58
9.46,26.35,611.9,9.99,9,38.8
9.01,28.04,316.4,11.28,56,98.1
9.43,28.13,374,17,80,36.07
9.4,28.07,273.5,14.61,71,122.9
9.48,29.02,272.4,16.51,96,74.58
9.6,26.59,229,15.88,28,87.57
8.21,27.99,236.9,0,96,97.9
9.43,28.72,239.7,18.78,21,22.31
9.69,28.57,229,22.05,1950,291.62
10.02,28.78,230.5,25.35,79,53.4
9.69,26.93,237.2,11.68,33,62.42
8.44,26.02,284,7.05,33,99.92
9.25,26.57,273.3,6.64,9,32.04
9.45,27.12,357.6,13.54,50,63.72
8.57,26.79,386.2,12.57,30,46.99
9.495,25.6,569,10.73,33,35.84
7.988,25,677,1.47,33,44.38
8.2,25.1,676,1.72,9,11.27
8.354,25.4,674,2.33,50,4.15
8.32,25.6,676,2.19,30,7.0
