Temperatura (°C),pH,Oxígeno Disuelto (mg/L),Turbidez (NTU),Conductividad (uS/cm)
22.12,8.2538,3.04,78.27327738,1313.604223
22.12,8.2538,2.99,76.33512497,1313.604223
22.12,8.15544,2.99,76.33512497,1313.604223
22.12,8.2538,2.99,80.72006986,1304.95659
22.12,8.15544,2.95,76.33512497,1304.95659
22.12,8.15544,2.95,76.33512497,1304.95659
22.12,8.15544,2.95,76.33512497,1304.95659
22.12,8.15544,2.95,76.33512497,1296.34397
22.12,8.15544,2.91,71.56472788,1313.604223
22.12,8.2538,2.91,71.56472788,1304.95659
22.12,8.15544,2.91,73.93653644,1313.604223
22.12,8.15544,2.86,73.93653644,1313.604223
22.12,8.15544,2.86,73.93653644,1313.604223
22.12,8.15544,2.86,73.93653644,1313.604223
22.12,8.15544,2.86,76.33512497,1304.95659
22.12,8.15544,2.82,78.27327738,1304.95659
22.12,8.15544,2.86,78.27327738,1313.604223
22.12,8.15544,2.82,76.33512497,1313.604223
22.12,8.15544,2.82,76.33512497,1313.604223
22.12,8.15544,2.82,78.27327738,1304.95659
22.12,8.15544,2.78,73.93653644,1313.604223
22.12,8.15544,2.78,66.9014507,1313.604223
22.12,8.15544,2.78,62.34529341,1322.304696
22.12,8.15544,2.78,66.9014507,1304.95659
22.12,8.15544,2.78,71.56472788,1304.95659
22.12,8.15544,2.78,66.9014507,1304.95659
22.12,8.05708,2.74,66.9014507,1304.95659
22.12,8.15544,2.74,69.2196993,1304.95659
22.12,8.15544,2.78,69.2196993,1313.604223
22.12,8.15544,2.74,66.9014507,1304.95659
22.12,8.15544,2.74,64.60998207,1296.34397
22.12,8.05708,2.74,66.9014507,1313.604223
22.12,8.05708,2.74,71.56472788,1304.95659
22.12,8.05708,2.74,76.33512497,1304.95659
22.12,8.05708,2.74,76.33512497,1304.95659
22.12,8.05708,2.74,73.93653644,1313.604223
22.12,8.05708,2.74,76.33512497,1313.604223
22.12,8.05708,2.69,66.9014507,1304.95659
22.12,8.15544,2.65,66.9014507,1304.95659
22.12,8.15544,2.69,64.60998207,1304.95659
22.12,8.05708,2.69,66.9014507,1313.604223
22.12,8.15544,2.74,66.9014507,1313.604223
22.12,8.05708,2.69,66.9014507,1304.95659
22.12,8.05708,2.69,64.60998207,1304.95659
22.12,8.05708,2.65,64.60998207,1313.604223
22.12,8.15544,2.69,62.34529341,1313.604223
22.12,8.05708,2.65,62.34529341,1313.604223
22.12,8.05708,2.69,62.34529341,1304.95659
22.12,8.05708,2.65,62.34529341,1313.604223
22.06,8.05708,2.69,64.60998207,1313.604223
22.12,8.05708,2.65,62.34529341,1313.604223
22.12,8.05708,2.65,62.34529341,1304.95659
22.06,8.05708,2.65,66.9014507,1313.604223
22.12,8.15544,2.69,66.9014507,1304.95659
22.12,8.05708,2.61,66.9014507,1313.604223
22.12,8.05708,2.65,69.2196993,1313.604223
22.12,8.05708,2.65,69.2196993,1313.604223
22.12,8.05708,2.65,69.2196993,1304.95659
22.12,8.05708,2.69,69.2196993,1304.95659
22.12,8.05708,2.61,62.34529341,1313.604223
22.12,7.95872,2.61,60.10738473,1313.604223
22.12,8.05708,2.61,56.14663465,1322.304696
22.12,8.05708,2.61,57.89625603,1304.95659
22.06,8.05708,2.61,57.89625603,1313.604223
22.12,8.05708,2.61,60.10738473,1313.604223
22.12,8.05708,2.65,62.34529341,1304.95659
22.12,8.05708,2.61,62.34529341,1322.304696
22.12,8.05708,2.61,69.2196993,1313.604223
22.12,8.05708,2.61,71.56472788,1296.34397
22.12,8.05708,2.65,78.27327738,1313.604223
22.12,7.95872,2.61,76.33512497,1313.604223
22.06,8.05708,2.61,78.27327738,1304.95659
22.06,8.05708,2.61,78.27327738,1304.95659
22.12,8.05708,2.61,80.72006986,1304.95659
22.12,8.05708,2.61,80.72006986,1313.604223
22.06,7.95872,2.61,80.72006986,1313.604223
22.06,8.05708,2.61,78.27327738,1313.604223
22.06,8.05708,2.61,83.19364232,1304.95659
22.12,8.05708,2.61,78.27327738,1313.604223
22.06,8.05708,2.56,78.27327738,1313.604223
22.06,8.05708,2.65,78.27327738,1313.604223
22.06,8.05708,2.61,78.27327738,1313.604223
22.06,8.05708,2.56,83.19364232,1304.95659
22.06,8.05708,2.61,78.27327738,1313.604223
22.06,7.95872,2.61,80.72006986,1304.95659
22.06,8.05708,2.61,83.19364232,1304.95659
22.06,8.05708,2.65,78.27327738,1313.604223
22.06,7.95872,2.65,78.27327738,1313.604223
22.06,7.95872,2.61,80.72006986,1304.95659
22.06,7.95872,2.61,80.72006986,1313.604223
22.06,7.95872,2.56,80.72006986,1304.95659
22.06,8.05708,2.56,80.72006986,1304.95659
22.06,8.05708,2.56,83.19364232,1304.95659
22.06,7.95872,2.61,78.27327738,1313.604223
22.06,8.05708,2.56,80.72006986,1313.604223
22.12,8.05708,2.56,83.19364232,1313.604223
22.06,8.05708,2.52,78.27327738,1313.604223
22.06,8.05708,2.61,80.72006986,1304.95659
22.06,8.05708,2.56,80.72006986,1322.304696
22.06,7.95872,2.56,80.72006986,1313.604223
22.06,7.95872,2.61,78.27327738,1304.95659
22.06,7.95872,2.56,78.27327738,1313.604223
22.06,7.95872,2.56,78.27327738,1313.604223
22.06,7.95872,2.56,83.19364232,1304.95659
22.06,7.95872,2.61,80.72006986,1313.604223
22.06,7.95872,2.56,78.27327738,1304.95659
