Fecha y hora,pH,Temperatura (°C),Conductividad (µS/cm),Oxígeno disuelto (mg/L),Turbidez (NTU)
2025-10-28 11:53:15,5.09,23.87,80.0,0.08,0.5
2025-10-28 11:53:16,5.09,23.87,60.0,0.08,0.5
2025-10-28 11:53:17,5.09,23.87,60.0,0.04,0.5
2025-10-28 11:53:18,5.1,23.87,60.0,0.08,0.5
2025-10-28 11:53:19,5.1,23.87,60.0,0.08,0.5
2025-10-28 11:53:20,5.1,23.87,60.0,0.08,0.5
2025-10-28 11:53:21,5.09,23.87,60.0,0.17,0.5
2025-10-28 11:53:22,5.1,23.87,60.0,0.08,0.5
2025-10-28 11:53:23,5.09,23.87,80.0,0.08,0.5
2025-10-28 11:53:24,5.1,23.87,80.0,0.08,0.5
2025-10-28 11:53:25,5.1,23.87,80.0,0.08,0.5
2025-10-28 11:53:26,5.11,23.87,80.0,0.08,0.5
2025-10-28 11:53:27,5.1,23.81,60.0,0.04,0.5
2025-10-28 11:53:28,5.1,23.87,80.0,0.08,0.5
2025-10-28 11:53:29,5.1,23.87,80.0,0.08,0.5
2025-10-28 11:53:30,5.1,23.87,60.0,0.08,0.5
2025-10-28 11:53:31,5.1,23.87,80.0,0.04,0.5
2025-10-28 11:53:32,5.11,23.87,80.0,0.13,0.5
2025-10-28 11:53:33,5.1,23.87,60.0,0.08,0.5
2025-10-28 11:53:34,5.11,23.87,60.0,0.08,0.5
2025-10-28 11:53:35,5.1,23.87,60.0,0.08,0.5
2025-10-28 11:53:36,5.12,23.87,80.0,0.04,0.5
2025-10-28 11:53:37,5.1,23.87,80.0,0.08,0.5
2025-10-28 11:53:38,5.11,23.87,60.0,0.08,0.5
2025-10-28 11:53:39,5.11,23.87,80.0,0.04,0.5
2025-10-28 11:53:41,5.11,23.87,60.0,0.08,0.5
2025-10-28 11:53:41,5.11,23.87,80.0,0.08,0.5
2025-10-28 11:53:43,5.14,23.87,80.0,0.08,0.5
2025-10-28 11:53:44,5.11,23.87,80.0,0.08,0.5
2025-10-28 11:53:45,5.11,23.87,80.0,0.08,0.5
2025-10-28 11:53:46,5.11,23.87,80.0,0.08,0.5
2025-10-28 11:53:47,5.13,23.87,60.0,0.04,0.5
2025-10-28 11:53:48,5.13,23.87,80.0,0.04,0.5
2025-10-28 11:53:49,5.13,23.87,60.0,0.13,0.5
2025-10-28 11:53:50,5.11,23.87,60.0,0.08,0.5
2025-10-28 11:53:51,5.13,23.87,60.0,0.13,0.5
2025-10-28 11:53:52,5.13,23.87,60.0,0.13,0.5
2025-10-28 11:53:53,5.13,23.87,60.0,0.08,0.5
2025-10-28 11:53:54,5.13,23.87,80.0,0.08,0.5
2025-10-28 11:53:55,5.14,23.87,80.0,0.08,0.5
2025-10-28 11:53:56,5.13,23.87,80.0,0.08,0.5
2025-10-28 11:53:57,5.13,23.87,80.0,0.04,0.5
2025-10-28 11:53:58,5.12,23.87,80.0,0.08,0.5
2025-10-28 11:53:59,5.14,23.87,60.0,0.08,0.5
2025-10-28 11:54:00,5.14,23.87,60.0,0.08,0.5
2025-10-28 11:54:01,5.13,23.87,80.0,0.08,0.5
2025-10-28 11:54:02,5.14,23.87,110.0,0.13,0.5
2025-10-28 11:54:03,5.15,23.87,80.0,0.08,0.5
2025-10-28 11:54:04,5.15,23.87,60.0,0.13,0.5
2025-10-28 11:54:05,5.14,23.87,60.0,0.13,0.5
2025-10-28 11:54:06,5.13,23.87,80.0,0.04,0.5
2025-10-28 11:54:07,5.14,23.87,60.0,0.04,0.5
2025-10-28 11:54:09,5.15,23.87,80.0,0.08,0.5
2025-10-28 11:54:10,5.15,23.87,80.0,0.04,0.5
2025-10-28 11:54:11,5.16,23.87,80.0,0.08,0.5
2025-10-28 11:54:12,5.16,23.87,80.0,0.08,0.5
2025-10-28 11:54:13,5.16,23.87,80.0,0.08,0.5
2025-10-28 11:54:14,5.16,23.87,80.0,0.13,0.5
2025-10-28 11:54:15,5.15,23.87,60.0,0.08,0.5
2025-10-28 11:54:16,5.16,23.87,80.0,0.04,0.5
2025-10-28 11:54:17,5.15,23.87,60.0,0.08,0.5
2025-10-28 11:54:18,5.16,23.87,80.0,0.08,0.5
2025-10-29 12:50:23,5.43,25.3,110.0,0.12,0.5
2025-10-29 12:50:24,5.43,25.3,80.0,0.08,0.5
2025-10-29 12:50:25,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:50:26,5.42,25.3,110.0,0.12,0.5
2025-10-29 12:50:27,5.42,25.4,80.0,0.08,0.5
2025-10-29 12:50:28,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:50:29,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:50:30,5.44,25.4,110.0,0.12,0.5
2025-10-29 12:50:31,5.42,25.4,110.0,0.12,0.5
2025-10-29 12:50:32,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:50:33,5.42,25.4,110.0,0.12,0.5
2025-10-29 12:50:34,5.42,25.4,140.0,0.12,0.5
2025-10-29 12:50:35,5.43,25.4,50.0,0.12,0.5
2025-10-29 12:50:36,5.41,25.4,110.0,0.16,0.5
2025-10-29 12:50:37,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:50:38,5.42,25.4,110.0,0.16,0.5
