Fecha;Sitio;Profundidad;pH;Clorofila (µg/L);Ficocianina (µg/L);Turbidez (NTU);Oxígeno disuelto (mg/L);Temperatura (°C);Conductividad (µS/cm)
23/01/2020;Centro-Weiss G;70;5.376995775;1.032508022;0.014905796;-0.172383677;4.368668846;20.70278591;445.0131755
23/01/2020;Centro-Weiss G;71;5.319305403;0.941174978;0.011938538;-0.181439197;4.148299239;20.69283188;444.9471774
23/01/2020;Centro-Weiss G;72;5.260884933;0.867783245;-0.006543781;-0.17944813;3.714670054;20.64002547;444.6782852
23/01/2020;Centro-Weiss G;73;5.200085815;0.813422734;-0.05089085;-0.184579223;3.269820464;20.59631781;444.3475739
23/01/2020;Centro-Weiss G;74;5.144112233;0.66133031;-0.056222814;-0.21128741;3.100836693;20.54838358;444.0898013
23/01/2020;Centro-Weiss G;75;5.092696046;0.564147205;-0.049770117;-0.235355449;2.991944529;20.49979342;443.9549484
23/01/2020;Centro-Weiss G;76;5.046614059;0.602612184;-0.045373936;-0.243108499;2.73023362;20.49888391;443.795346
23/01/2020;Centro-Weiss G;77;4.993546096;0.52302091;-0.032108003;-0.261546111;2.349467197;20.50495267;443.3182776
23/01/2020;Centro-Weiss G;78;4.939683559;0.444065356;-0.03370461;-0.277761281;2.246500743;20.46917715;442.9421912
23/01/2020;Centro-Weiss G;79;4.879105569;0.392979325;-0.043583174;-0.2889788;2.194602001;20.41080404;442.5802215
23/01/2020;Centro-Weiss G;80;4.830456942;0.309246467;-0.036149964;-0.306608264;2.080947232;20.39557434;442.175722
23/01/2020;Centro-Weiss G;81;4.793010245;0.259222417;-0.019448903;-0.302053114;1.93367321;20.39996039;441.9858765
23/01/2020;Centro-Weiss G;82;4.785554833;0.274911843;-0.031682635;-0.26993673;1.743065281;20.4;441.8637373
23/01/2020;Centro-Weiss G;83;4.778317821;0.311684521;-0.060604298;-0.258765797;1.646410598;20.4;441.7752479
23/01/2020;Centro-Weiss G;84;4.771589627;0.354752899;-0.080266863;-0.282156999;1.566705989;20.4;441.6997844
23/01/2020;Centro-Weiss G;85;4.7459415;0.33840275;-0.087751261;-0.295272042;1.492361213;20.4;441.6096792
23/01/2020;WP;0;8.632391957;2.44;0.13;0.02;6.87;21;446.3908113
23/01/2020;WP;1;8.612015362;2.44;0.13;0.02;6.87;21;446.4226214
23/01/2020;WP;2;8.613056892;2.44;0.13;0.019960709;6.87;21;446.4237628
23/01/2020;WP;3;8.603696061;2.428100997;0.130795945;0.020487698;6.870848109;21;446.3941447
23/01/2020;WP;4;8.615343617;2.515255064;0.125402744;0.019231453;6.865251345;21.00024952;446.330922
23/01/2020;WP;5;8.475615496;2.71417212;0.10836164;0.012605553;6.84900547;21.00365641;446.2310566
23/01/2020;WP;6;8.269845161;2.893311284;0.104750965;0.001516723;6.821255749;20.96858089;446.0944727
23/01/2020;WP;7;8.208239565;3.054817008;0.127251012;-0.015698558;6.786986077;20.9059846;445.9726773
23/01/2020;WP;8;7.872074879;3.254133496;0.142864369;-0.028233808;6.755356236;20.89623238;445.8558629
23/01/2020;WP;9;7.780864006;3.414834951;0.140778192;-0.022449933;6.717973248;20.9;445.7450175
23/01/2020;WP;10;7.849648952;3.239837405;0.145719089;-0.017813315;6.692013089;20.9;445.6099894
23/01/2020;WP;11;7.791157443;2.870639547;0.170732052;-0.010150836;6.642068488;20.9;445.4744721
23/01/2020;WP;12;7.708015468;2.645772213;0.183753722;0.001331062;6.602276319;20.9;445.3475434
23/01/2020;WP;13;7.731249188;2.652196827;0.184807198;-0.00508699;6.577019058;20.90224384;445.257429
23/01/2020;WP;14;7.760351508;2.649406405;0.175271601;-0.010153279;6.55631099;20.8998921;445.1975605
23/01/2020;WP;15;7.783432535;2.602337413;0.169834333;-0.002879109;6.53595802;20.84402603;445.1609154
23/01/2020;WP;16;7.775379004;2.524841327;0.181025952;-0.002454983;6.5148995;20.79578495;445.126339
23/01/2020;WP;17;7.773523606;2.420366715;0.181306369;0.00130219;6.503112282;20.79954974;445.0866636
23/01/2020;WP;18;7.78115912;2.325257776;0.167143763;0.0126118;6.481466247;20.8;445.0528732
23/01/2020;WP;19;7.767391366;2.253013653;0.14285669;0.012116724;6.462586052;20.8;445.0249799
23/01/2020;WP;20;7.786385682;2.266073688;0.122079214;0.00538417;6.443777363;20.8;444.9911369
23/01/2020;WP;21;7.759499007;2.348597407;0.128707314;0.006290417;6.415754182;20.8;444.9594871
23/01/2020;WP;22;7.767487913;2.326854201;0.126584806;0.008512029;6.396291352;20.8;444.9318184
23/01/2020;WP;23;7.795645626;2.296025449;0.107633803;0.009549866;6.371038453;20.8;444.9066182
23/01/2020;WP;24;7.807498457;2.423803024;0.086209774;0.013869203;6.343454102;20.8;444.8971535
23/01/2020;WP;25;7.798874032;2.577851273;0.088080603;0.030273943;6.331244941;20.8;444.8956517
23/01/2020;WP;26;7.779340655;2.5502383;0.098263156;0.054602652;6.325160219;20.8;444.9011971
23/01/2020;WP;27;7.741229345;2.350175132;0.091393597;0.057100404;6.320386562;20.8;444.9055312
23/01/2020;WP;28;7.786318319;2.252360935;0.082081995;0.008864681;6.315768211;20.8;444.8938277
23/01/2020;WP;29;7.763053728;2.253679886;0.068081057;-0.045107986;6.310206707;20.8;444.8769526
23/01/2020;WP;30;7.684173197;2.132253399;0.075481755;-0.043535902;6.31078673;20.8;444.8570009
23/01/2020;WP;31;7.640438161;2.053702337;0.080620933;-0.013114694;6.309066803;20.8;444.8562412
23/01/2020;WP;32;7.625964169;1.885457698;0.091169724;0.01070874;6.272633588;20.8;444.8660257
23/01/2020;WP;33;7.629648138;1.566003814;0.095146352;0.014224111;6.197065755;20.8;444.8874113
23/01/2020;WP;34;7.618893343;1.540293972;0.083955959;-0.001706291;6.101187185;20.8;444.8997379
23/01/2020;WP;35;7.539962747;1.793211102;0.099830037;-0.020279473;6.038756178;20.8;444.9000621
23/01/2020;WP;36;7.498333986;1.99171065;0.1087475;-0.026792518;6.019355337;20.8;444.9016882
23/01/2020;WP;37;7.481084064;1.939968887;0.092504485;-0.030273419;6.008884841;20.8;444.9288693
23/01/2020;WP;38;7.455339615;1.69579735;0.037114547;-0.038329861;5.994265253;20.8;444.94916
23/01/2020;WP;39;7.436956922;1.62634806;-0.026284303;-0.04376701;5.981177213;20.8;444.9526606
23/01/2020;WP;40;7.411875071;1.735154725;-0.025840663;-0.04351496;5.977890267;20.8;444.9403393
23/01/2020;WP;41;7.376655874;1.78029417;-0.008783823;-0.041898324;5.970672219;20.8;444.9163495
23/01/2020;WP;42;7.366209115;1.795908338;0.016061559;-0.051321857;5.963579;20.8;444.9217644
23/01/2020;WP;43;7.349260749;1.808092523;0.025249824;-0.054299625;5.958844647;20.8;444.9432904
23/01/2020;WP;44;7.33252116;1.838922895;0.031550217;-0.048158697;5.953139964;20.8;444.9786981
23/01/2020;WP;45;7.311968546;1.831235707;0.0286858;-0.053512408;5.947207454;20.8;445.0027379
23/01/2020;WP;46;7.271396005;1.719084496;0.03156297;-0.051561604;5.933745933;20.8;445.0088626
23/01/2020;WP;47;7.234239876;1.653815264;0.041047163;-0.041029973;5.921278964;20.8;444.9994248
23/01/2020;WP;48;7.211519016;1.666697355;0.040059663;-0.039273726;5.913302221;20.8;444.970054
23/01/2020;WP;49;7.199982878;1.6142264;0.03763014;-0.040323434;5.89777428;20.8;444.9498912
23/01/2020;WP;50;7.191410192;1.58773708;0.035222555;-0.044846411;5.884483381;20.8;444.9457828
23/01/2020;WP;51;7.175889942;1.652674072;0.047751096;-0.049933261;5.875402766;20.8;444.9560967
23/01/2020;WP;52;7.153260453;1.762215363;0.055470284;-0.055750317;5.869930624;20.8;444.9847324
23/01/2020;WP;53;7.109281647;1.813940325;0.052115229;-0.061997327;5.869934253;20.8;445.002526
23/01/2020;WP;54;7.076688309;1.783538179;0.050862825;-0.063713745;5.870217169;20.8;445.0096233
23/01/2020;WP;55;7.021038422;1.829322883;0.048847705;-0.058148285;5.867387922;20.8;445.0009131
23/01/2020;WP;56;7.015201911;1.821656662;0.051180791;-0.048669119;5.861494464;20.8;444.9754063
23/01/2020;WP;57;7.011743799;1.670080576;0.039662039;-0.050658797;5.859760728;20.8;444.9455003
23/01/2020;WP;58;6.999001011;1.576505982;0.017352362;-0.055586129;5.860293358;20.8;444.9146287
23/01/2020;WP;59;6.993563379;1.596447279;0.003517819;-0.050596138;5.858547544;20.8;444.9145109
23/01/2020;WP;60;7.10012959;1.70785401;-0.001682803;-0.05056123;5.852631176;20.8;444.9369828
11/02/2020;Centro-Weiss G;0;8.653645925;1.603507195;0.07771919;0.636517811;7.965125482;21.6;452.1473987
11/02/2020;Centro-Weiss G;1;8.660264705;1.783967204;0.047213069;0.646372445;7.957433398;21.6;452.2396428
11/02/2020;Centro-Weiss G;2;8.666207103;1.789338196;0.021503113;0.642790877;7.957429538;21.6;452.2471388
11/02/2020;Centro-Weiss G;3;8.671562664;1.791520049;0.035287083;0.638241357;7.954882337;21.6;452.2779956
11/02/2020;Centro-Weiss G;4;8.676148385;1.989613511;0.053603868;0.624741019;7.95038132;21.6;452.3011761
11/02/2020;Centro-Weiss G;5;8.680383468;2.09476734;0.043211829;0.619948723;7.94930207;21.6;452.3003797
11/02/2020;Centro-Weiss G;6;8.683854149;2.075456966;0.042717665;0.625878319;7.94336263;21.6;452.3
