Fecha;Hora;Sitio;pH;Temperatura (°C);Conductividad (uS/cm);O2 (mg/L);Turbidez (NTU);Clorofila (ug/L)
7-jul-21;13:01;Lago de Amatitlán/Río Michatoya ;9.41;29.1;677;18.51;47;204.34
7-jul-21;13:14;Lago de Amatitlán/Playa Pública;9.32;28.6;684;19.36;44;174.8
3-ago-21;08:54;Lago de Amatitlán/Este Centro;9.52;26.3;635;13.79;25;272.34
3-ago-21;10:21;Lago de Amatitlán/Bahía Playa de Oro;8.84;27.6;640;13.55;29;242.79
3-ago-21;11:42;Lago de Amatitlán/Oeste Centro;9.22;26.4;675;14.33;22;227.84
3-ago-21;12:32;Lago de Amatitlán/Río Michatoya ;9.4;26.9;670;14.7;49;342.83
3-ago-21;12:45;Lago de Amatitlán/Playa Pública;9.48;27.9;668;17.72;72;352.44
7-sep-21;09:56;Lago de Amatitlán/Este Centro;9.55;26.6;618;10.47;6;55.89
7-sep-21;11:08;Lago de Amatitlán/Bahía Playa de Oro;9.16;26.9;609;13.61;27;167.32
7-sep-21;12:10;Lago de Amatitlán/Oeste Centro;9.3;27;629;14.09;19;308.65
7-sep-21;12:54;Lago de Amatitlán/Río Michatoya ;9.56;26.3;628;16.62;21;317.55
7-sep-21;13:04;Lago de Amatitlán/Playa Pública;9.64;27.6;621;18.86;22;453.9
5-oct-21;09:53;Lago de Amatitlán/Este Centro;9.69;27;591;14.03;9;157
5-oct-21;11:10;Lago de Amatitlán/Bahía Playa de Oro;8.72;26.6;617;8.08;26;170.52
5-oct-21;11:52;Lago de Amatitlán/Oeste Centro;8.94;26.1;623;9.57;19;215.74
5-oct-21;12:26;Lago de Amatitlán/Río Michatoya ;9.07;26;620;10.16;25;247.06
5-oct-21;12:36;Lago de Amatitlán/Playa Pública;9.11;26.3;618;11.27;23;246
2-nov-21;09:48;Lago de Amatitlán/Este Centro;9.21;25.4;599;7.14;9;109.65
2-nov-21;11:20;Lago de Amatitlán/Bahía Playa de Oro;7.79;25.5;632;1.05;26;88.64
2-nov-21;12:24;Lago de Amatitlán/Oeste Centro;7.79;24.9;640;5.07;16;65.86
2-nov-21;13:14;Lago de Amatitlán/Río Michatoya ;7.88;25;640;2.22;16;78.32
2-nov-21;13:22;Lago de Amatitlán/Playa Pública;7.84;25.4;640;2.54;14;72.27
1-dic-21;10:15;Lago de Amatitlán/Este Centro;8.24;23;637;3.06;6;47.35
1-dic-21;11:15;Lago de Amatitlán/Bahía Playa de Oro;8.46;22.9;624;7.74;13;177.29
1-dic-21;12:10;Lago de Amatitlán/Oeste Centro;7.78;23.3;666;2.38;10;67.28
1-dic-21;12:52;Lago de Amatitlán/Río Michatoya ;7.81;24.1;670;2.82;6;21.36
1-dic-21;13:02;Lago de Amatitlán/Playa Pública;7.75;26.5;668;1.86;7;30.26
